#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"13582889636";"17/07/2024 / 09:33:39";"WDOQ24";"V";"2";"5.459,50";"executada";"saída";"2";"5.459,50";"6,00";"0,11";"120,00"
"13582889630";"17/07/2024 / 09:33:38";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.456,00";"-";"-";"-"
"13582889627";"17/07/2024 / 09:33:38";"WDOQ24";"C";"2";"0,00";"executada";"saída";"2";"5.456,00";"2,00";"0,04";"40,00"
"13582887535";"17/07/2024 / 09:23:44";"WDOQ24";"V";"2";"5.465,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582885601";"17/07/2024 / 09:18:53";"WDOQ24";"V";"1";"5.460,50";"executada";"entrada";"1";"5.460,50";"-";"-";"-"
"13582885598";"17/07/2024 / 09:18:53";"WDOQ24";"C";"2";"5.452,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13582885580";"17/07/2024 / 09:18:52";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.455,50";"-";"-";"-"
"13582876847";"17/07/2024 / 09:01:01";"WDOQ24";"V";"1";"5.455,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582876488";"17/07/2024 / 09:01:00";"WDOQ24";"C";"1";"5.444,00";"executada";"saída";"1";"5.444,00";"6,00";"0,11";"60,00"
"13582876420";"17/07/2024 / 09:00:59";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.450,00";"-";"-";"-"
"13582852961";"16/07/2024 / 14:34:04";"WDOQ24";"C";"8";"0,00";"executada";"saída";"8";"5.455,06";"-18,44";"-0,34";"-1.475,00"
"13582826211";"16/07/2024 / 12:31:54";"WDOQ24";"V";"4";"5.441,00";"executada";"entrada";"4";"5.441,00";"-";"-";"-"
"13582824375";"16/07/2024 / 12:24:20";"WDOQ24";"V";"2";"5.436,00";"executada";"entrada";"2";"5.436,00";"-";"-";"-"
"13582824052";"16/07/2024 / 12:23:31";"WDOQ24";"V";"1";"5.431,00";"executada";"entrada";"1";"5.431,00";"-";"-";"-"
"13582824048";"16/07/2024 / 12:23:31";"WDOQ24";"C";"8";"5.431,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13582824044";"16/07/2024 / 12:23:31";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.426,00";"-";"-";"-"
"13582797274";"16/07/2024 / 10:46:43";"WDOQ24";"C";"1";"5.412,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582797265";"16/07/2024 / 10:46:43";"WDOQ24";"V";"1";"5.423,00";"executada";"saída";"1";"5.423,00";"6,00";"0,11";"60,00"
"13582797216";"16/07/2024 / 10:46:42";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.417,00";"-";"-";"-"
"13582769828";"16/07/2024 / 09:35:12";"WDOQ24";"V";"2";"5.449,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582768654";"16/07/2024 / 09:33:17";"WDOQ24";"V";"1";"5.444,50";"executada";"entrada";"1";"5.444,50";"-";"-";"-"
"13582768653";"16/07/2024 / 09:33:17";"WDOQ24";"C";"2";"5.436,00";"executada";"saída";"2";"5.436,00";"6,00";"0,11";"120,00"
"13582768646";"16/07/2024 / 09:33:17";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.439,50";"-";"-";"-"
